DNI,Primer_Nombre,Segundo_Nombre,Apellido,Email,Fecha_Nacimiento,Nacionalidad,Localidad,Calle,Altura,Telefono
45678901,Sofía,María,Fernández,sofia.fernandez@alumno.edu,2007-01-15,Argentina,San Miguel,Rivadavia,2345,11 5555 1111
45678902,Lucas,Andrés,García,lucas.garcia@alumno.edu,2007-02-20,Argentina,San Miguel,Mitre,3456,11 5555 2222
45678903,Valentina,Isabel,Rodríguez,valentina.rodriguez@alumno.edu,2007-03-25,Argentina,San Miguel,San Martín,4567,11 5555 3333
45678904,Mateo,Gabriel,López,mateo.lopez@alumno.edu,2007-04-10,Argentina,San Miguel,Belgrano,5678,11 5555 4444
45678905,Emma,Carolina,Martínez,emma.martinez@alumno.edu,2007-05-18,Argentina,San Miguel,Sarmiento,6789,11 5555 5555
45678906,Benjamín,Santiago,González,benjamin.gonzalez@alumno.edu,2007-06-22,Argentina,San Miguel,Moreno,7890,11 5555 6666
45678907,Isabella,Florencia,Pérez,isabella.perez@alumno.edu,2007-07-30,Argentina,San Miguel,Alem,8901,11 5555 7777
45678908,Thiago,Maximiliano,Sánchez,thiago.sanchez@alumno.edu,2007-08-14,Argentina,San Miguel,Pueyrredón,9012,11 5555 8888
45678909,Martina,Agustina,Romero,martina.romero@alumno.edu,2007-09-05,Argentina,San Miguel,Urquiza,1123,11 5555 9999
45678910,Joaquín,Nicolás,Torres,joaquin.torres@alumno.edu,2007-10-28,Argentina,San Miguel,Balcarce,2234,11 5555 0000
